Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in USD,Term Loans,2014-01-01,3.110
Interest Rate on Deposits and Loans in USD,Other Loans,2014-01-01,5.130
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-01-01,9.110
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-01-01,16.110
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-01-01,9.830
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-01-01,8.890
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-01-01,0.130
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-01-01,1.120
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-01-01,6.320
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-01-01,18.160
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-01-01,29.430
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-01-01,0.000
Interest Rate on Deposits and Loans in USD,Overdraft,2014-01-01,0.160
Interest Rate on Deposits and Loans in USD,Credit Card,2014-01-01,1.050
Interest Rate on Deposits and Loans in USD,Term Loans,2014-01-01,3.970
Interest Rate on Deposits and Loans in USD,Other Loans,2014-01-01,2.810
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-01-01,9.140
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-01-01,16.490
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-01-01,10.020
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-01-01,7.620
Interest Rate on Deposits and Loans in USD,Overdraft,2014-01-01,
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-02-01,0.110
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-02-01,1.010
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-02-01,5.150
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-02-01,30.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-02-01,29.390
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-02-01,0.000
Interest Rate on Deposits and Loans in USD,Credit Card,2014-02-01,0.140
Interest Rate on Deposits and Loans in USD,Term Loans,2014-02-01,0.580
Interest Rate on Deposits and Loans in USD,Other Loans,2014-02-01,3.250
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-02-01,5.340
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-02-01,7.050
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-02-01,18.120
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-02-01,14.140
Interest Rate on Deposits and Loans in USD,Overdraft,2014-02-01,8.690
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-02-01,0.430
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-02-01,1.030
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-02-01,6.080
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-02-01,18.050
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-02-01,29.390
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-02-01,0.000
Interest Rate on Deposits and Loans in USD,Credit Card,2014-02-01,0.190
Interest Rate on Deposits and Loans in USD,Term Loans,2014-02-01,1.060
Interest Rate on Deposits and Loans in USD,Other Loans,2014-02-01,4.010
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-02-01,5.770
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-02-01,9.090
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-02-01,17.250
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-02-01,10.230
Interest Rate on Deposits and Loans in USD,Overdraft,2014-02-01,7.650
Interest Rate on Deposits and Loans in USD,Credit Card,2014-02-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-03-01,0.130
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-03-01,0.990
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-03-01,5.440
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-03-01,30.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-03-01,29.370
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-03-01,0.000
Interest Rate on Deposits and Loans in USD,Term Loans,2014-03-01,0.180
Interest Rate on Deposits and Loans in USD,Other Loans,2014-03-01,0.600
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-03-01,3.410
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-03-01,4.720
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-03-01,7.240
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-03-01,19.050
Interest Rate on Deposits and Loans in USD,Overdraft,2014-03-01,14.140
Interest Rate on Deposits and Loans in USD,Credit Card,2014-03-01,8.520
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-03-01,0.100
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-03-01,1.340
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-03-01,6.400
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-03-01,18.670
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-03-01,29.360
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-03-01,0.000
Interest Rate on Deposits and Loans in USD,Term Loans,2014-03-01,0.180
Interest Rate on Deposits and Loans in USD,Other Loans,2014-03-01,0.920
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-03-01,4.090
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-03-01,5.830
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-03-01,8.990
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-03-01,13.440
Interest Rate on Deposits and Loans in USD,Overdraft,2014-03-01,10.300
Interest Rate on Deposits and Loans in USD,Credit Card,2014-03-01,7.630
Interest Rate on Deposits and Loans in USD,Term Loans,2014-03-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-04-01,0.100
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-04-01,1.050
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-04-01,6.270
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-04-01,30.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-04-01,29.460
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-04-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2014-04-01,0.170
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-04-01,0.570
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-04-01,3.220
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-04-01,2.140
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-04-01,7.640
Interest Rate on Deposits and Loans in USD,Overdraft,2014-04-01,19.010
Interest Rate on Deposits and Loans in USD,Credit Card,2014-04-01,13.890
Interest Rate on Deposits and Loans in USD,Term Loans,2014-04-01,8.540
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-04-01,0.120
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-04-01,1.320
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-04-01,6.420
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-04-01,21.370
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-04-01,29.320
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-04-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2014-04-01,0.210
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-04-01,0.910
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-04-01,4.070
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-04-01,5.520
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-04-01,8.980
Interest Rate on Deposits and Loans in USD,Overdraft,2014-04-01,14.370
Interest Rate on Deposits and Loans in USD,Credit Card,2014-04-01,10.790
Interest Rate on Deposits and Loans in USD,Term Loans,2014-04-01,7.620
Interest Rate on Deposits and Loans in USD,Other Loans,2014-04-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-05-01,0.180
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-05-01,1.090
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-05-01,6.300
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-05-01,30.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-05-01,29.680
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-05-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-05-01,0.130
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-05-01,0.560
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-05-01,3.510
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-05-01,5.000
Interest Rate on Deposits and Loans in USD,Overdraft,2014-05-01,6.700
Interest Rate on Deposits and Loans in USD,Credit Card,2014-05-01,14.380
Interest Rate on Deposits and Loans in USD,Term Loans,2014-05-01,12.330
Interest Rate on Deposits and Loans in USD,Other Loans,2014-05-01,8.440
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-05-01,0.210
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-05-01,1.130
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-05-01,6.450
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-05-01,27.060
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-05-01,29.330
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-05-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-05-01,0.180
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-05-01,1.070
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-05-01,4.060
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-05-01,5.310
Interest Rate on Deposits and Loans in USD,Overdraft,2014-05-01,8.960
Interest Rate on Deposits and Loans in USD,Credit Card,2014-05-01,14.310
Interest Rate on Deposits and Loans in USD,Term Loans,2014-05-01,10.650
Interest Rate on Deposits and Loans in USD,Other Loans,2014-05-01,7.670
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-05-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-06-01,0.040
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-06-01,1.050
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-06-01,6.080
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-06-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-06-01,30.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-06-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-06-01,28.900
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-06-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-06-01,0.160
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-06-01,0.630
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-06-01,3.220
Interest Rate on Deposits and Loans in USD,Overdraft,2014-06-01,4.180
Interest Rate on Deposits and Loans in USD,Credit Card,2014-06-01,7.410
Interest Rate on Deposits and Loans in USD,Term Loans,2014-06-01,15.820
Interest Rate on Deposits and Loans in USD,Other Loans,2014-06-01,12.270
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-06-01,8.420
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-06-01,0.150
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-06-01,1.150
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-06-01,6.560
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-06-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-06-01,28.280
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-06-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-06-01,29.300
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-06-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-06-01,0.180
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-06-01,1.090
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-06-01,4.000
Interest Rate on Deposits and Loans in USD,Overdraft,2014-06-01,5.160
Interest Rate on Deposits and Loans in USD,Credit Card,2014-06-01,8.890
Interest Rate on Deposits and Loans in USD,Term Loans,2014-06-01,14.150
Interest Rate on Deposits and Loans in USD,Other Loans,2014-06-01,10.630
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-06-01,7.500
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-06-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-07-01,0.110
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-07-01,1.100
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-07-01,6.290
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-07-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2014-07-01,25.070
Interest Rate on Deposits and Loans in KHR,Other Loans,2014-07-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2014-07-01,28.920
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2014-07-01,0.000
Interest Rate on Deposits and Loans in USD,Term Deposits,2014-07-01,0.180
Interest Rate on Deposits and Loans in USD,Other Deposits,2014-07-01,0.560
Interest Rate on Deposits and Loans in USD,Overdraft,2014-07-01,3.250
Interest Rate on Deposits and Loans in USD,Credit Card,2014-07-01,4.900
Interest Rate on Deposits and Loans in USD,Term Loans,2014-07-01,7.910
Interest Rate on Deposits and Loans in USD,Other Loans,2014-07-01,18.400
Interest Rate on Deposits and Loans in USD,Demand Deposits,2014-07-01,12.620
Interest Rate on Deposits and Loans in USD,Saving Deposits,2014-07-01,8.460
Interest Rate on Deposits and Loans in KHR,Term Deposits,2014-07-01,0.170
Interest Rate on Deposits and Loans in KHR,Other Deposits,2014-07-01,1.060
Interest Rate on Deposits and Loans in KHR,Overdraft,2014-07-01,6.560
Interest Rate on Deposits and Loans in KHR,Credit Card,2014-07-01,0.000
